,Breed,Origin,Fédération Cynologique Internationale[3],American Kennel Club[4],Australian National Kennel Council[5],Canadian Kennel Club[6],The Kennel Club[7],New Zealand Kennel Club[8],United Kennel Club[9],Image
181,English Pointer,United Kingdom (England),Group 07 Section 02 #001,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
182,English Setter,United Kingdom (England),Group 07 Section 02 #002,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
183,English Shepherd,United Kingdom (England),,,,,,,Herding Dog,
184,English Springer Spaniel,United Kingdom (England),Group 08 Section 02 #125,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
185,English Toy Terrier (Black & Tan),United Kingdom (England),Group 03 Section 04 #013,,Group 01 (Toys),,Toy,Toy,,
186,English Water Spaniel,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
187,English White Terrier,United Kingdom (England),Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,
188,Entlebucher Mountain Dog,Switzerland,Group 02 Section 03 #047,Herding Group,,Group 03 - Working Dogs,Working,,Guardian Dog,
189,Estonian Hound,Estonia,,,,,,,,
190,Estrela Mountain Dog,Portugal,Group 02 Section 02 #173,FSS,Group 06 (Utility),,Pastoral,Utility,Guardian Dog,
191,Eurasier,Germany,Group 05 Section 05 #291,FSS,Group 07 (Non-Sporting),Group 03 - Working Dogs,Utility,Non Sporting,Northern Breed,
192,Eurohound,Scandinavia,,,,,,,,
193,Field Spaniel,United Kingdom (England),Group 08 Section 02 #123,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
194,Fila Brasileiro,Brazil,Group 02 Section 02 #225,,,,,,,
195,Finnish Hound,Finland,Group 06 Section 01 #051,,,,,,Scenthound,
196,Finnish Lapphund,Finland,Group 05 Section 03 #189,Herding Group,Group 05 (Working Dogs),"Group 07 - Herding Dogs, listed",Pastoral,Working,Northern Breed,
197,Finnish Spitz,Finland,Group 05 Section 02 #049,Non-Sporting Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Northern Breed,
198,Flat-Coated Retriever,United Kingdom (England),Group 08 Section 01 #121,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
199,"Fox Terrier, Smooth",United Kingdom (England),Group 03 Section 01 #012,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
200,"Fox Terrier, Wire",United Kingdom (England),Group 03 Section 01 #169,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier,
201,French Brittany,France,,,,,,,Gun Dog,
202,French Bulldog,"United Kingdom (England), France",Group 09 Section 11 #101,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-Sporting,Utility,Non Sporting,Companion Dog,
203,French Spaniel,France,Group 07 Section 01 #175,FSS,,Group 01 - Sporting Dogs,,,Gun Dog,
204,Gaddi Kutta,India,,,,,,,,
205,Galgo Español,Spain,Group 10 Section 03 #285,,,,,,Sighthound and Pariah,
206,Galician Shepherd Dog,Spain,,,,,,,,
207,Garafian Shepherd,Spain,,,,,,,,
208,Gascon Saintongeois,France,Group 06 Section 01 #21,,,,,,Scenthound (Grand and Petit),
209,Georgian Shepherd,Georgia,,,,,,,,
210,German Longhaired Pointer,Germany,Group 07 Section 01 #117,FSS,,Group 01 - Sporting Dogs,Gundog,,Gun Dog,
211,German Pinscher,Germany,Group 02 Section 01 #184,Working Group,Group 06 (Utility),Group 06 - Non-Sporting,Working,Utility,Terrier,
212,German Roughhaired Pointer,Germany,Group 07 Section 01 #232,,,,,,Gun Dog,
213,German Shepherd Dog,Germany,Group 01 Section 01 #166,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog,
214,German Shorthaired Pointer,Germany,Group 07 Section 01 #119,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
215,German Spaniel,Germany,Group 08 Section 02 #104,FSS,,,,,Gun Dog,
216,German Spitz,Germany,Group 05 Section 04 #097,FSS,"Group 07 (Non-Sporting) (Klein, Mittel only)",,"Utility (Klein, Mittel only)","Non Sporting (Klein, Mittel only)",Northern Breed,
217,German Wirehaired Pointer,Germany,Group 07 Section 01 #098,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
218,Giant Schnauzer,Germany,Group 02 Section 01 #181,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog,
219,Glen of Imaal Terrier,Ireland,Group 03 Section 01 #302,Terrier Group,Group 02 (Terriers),"Group 04 - Terriers, listed",Terrier,Terrier,Terrier,
220,Golden Retriever,United Kingdom (Scotland),Group 08 Section 01 #111,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
221,Gordon Setter,United Kingdom (Scotland),Group 07 Section 02 #006,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundog,Gun Dog,
222,Gran Mastín de Borínquen,Puerto Rico,,,,,,,,
223,Grand Anglo-Français Blanc et Noir,France,Group 06 Section 01 #323,,,,,,Scenthound,
224,Grand Anglo-Français Blanc et Orange,France,Group 06 Section 01 #324,,,,,,Scenthound,
225,Grand Anglo-Français Tricolore,France,Group 06 Section 01 #322,,,,,,Scenthound,
226,Grand Basset Griffon Vendéen,France,Group 06 Section 01 #033,Hound Group,Group 04 (Hounds),,Hound,Hound,Scenthound,
227,Grand Bleu de Gascogne,France,Group 06 Section 01 #022,,,,Hound,,Scenthound,
228,Grand Griffon Vendéen,France,Group 06 Section 01 #282,,,,,,Scenthound,
229,Great Dane,Germany,Group 02 Section 02 #235,Working Group,Group 07 (Non-Sporting),Group 03 - Working Dogs,Working,Non Sporting,Guardian Dog,
230,Great Pyrenees,"France, Spain",Group 02 Section 02 #137,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Pastoral,Utility,Guardian Dog,
231,Greater Swiss Mountain Dog,Switzerland,Group 02 Section 03 #058,Working Group,,Group 03 - Working Dogs,Working,Utility,Guardian Dog,
232,Greek Harehound,Greece,Group 06 Section 01 #214,,,,,,Scenthound,
233,Greek Shepherd,Greece,,,,,,,Guardian Dog,
234,Greenland Dog,Greenland,Group 05 Section 01 #274,,,Group 03 - Working Dogs,Working,,Northern Breed,
235,Greyhound,"United Kingdom (England), Middle East",Group 10 Section 03 #158,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah,
236,Griffon Bleu de Gascogne,France,Group 06 Section 01 #032,,,,,,Scenthound,
237,Griffon Fauve de Bretagne,France,Group 06 Section 01 #066,,,,Hound,,Scenthound,
238,Griffon Nivernais,France,Group 06 Section 01 #017,,,,,,Scenthound,
239,Guatemalan Dogo,Guatemala,,,,,,,,
240,Gull Terrier,"India, Pakistan",,,,,,,,
241,Hamiltonstövare,Sweden,Group 06 Section 01 #132,FSS,Group 04 (Hounds),,Hound,Hound,Scenthound,
242,Hanover Hound,Germany,Group 06 Section 02 #213,FSS,,,,,Scenthound,
